,store_id,mse_naive,mse_naive_seasonal,mse_sarima,mse_LR
0,1,13040064249.89823,7755212027.50551,6224668731.842237,5562569390.935641
1,2,10458737483.95528,9578123808.878342,6685683818.880229,5809892758.5101185
2,3,525191794.5612,523856198.3127284,482731972.1482523,359932942.2370366
3,4,7219024587.3186865,8228034210.690074,3595561287.16174,3814088992.133471
4,5,356547983.0277713,354449888.3725964,211944107.75869888,192240537.99225378
5,6,10816986652.89232,14796868351.078966,8399144017.122474,7998901649.931333
6,7,1627457665.5806108,10483686594.859789,1860806299.403622,2644166095.34531
7,8,1477087289.1280465,2107583460.9642212,963300823.4857095,960009114.5622752
8,9,910857857.0392472,1352459108.3370895,721767535.7052896,588969920.5633792
9,10,5430161655.418274,15397007723.05763,4543428887.007037,8910465252.85362
10,11,7936608527.910768,8785836487.92812,5360406213.155953,4699527675.802791
11,12,2771877786.505832,5097732482.492259,2889815883.187925,2248593659.5082407
12,13,8607169800.618187,12043577859.355663,5699583251.237231,5563202341.841118
13,14,22269242311.323845,39659538896.549,19025306466.179344,53958530947.731514
14,15,1453434584.816461,3306497451.4368653,1292240618.348708,1599986212.6218193
15,16,1744547912.138924,3602976322.953122,1315369316.2560337,1422785011.6201847
16,17,11985379456.862083,18517105303.9604,7989007452.111377,9362745994.241049
17,18,4492228710.033377,9136963637.86719,3410390079.874771,3178677497.0107527
18,19,8116272520.441698,17933520708.238117,6504008480.574439,7462557202.611596
19,20,16607942450.622969,18254853448.63848,11239180221.592545,11351338205.215496
20,21,1401521787.954674,4064603564.6884894,1705666682.9952233,2867300419.1605506
21,22,3391680425.438546,7206186071.422902,2543941043.079762,2386619876.1149473
22,23,9064469985.44538,30037555337.280186,8074634482.87721,7287114992.550281
23,24,11770449221.247044,12389983329.048391,7860044681.980111,7387762415.543958
24,25,1135933466.164087,2895341332.506013,1143554374.9094806,859822239.60841
25,26,4469337522.215428,5119434473.597377,3053204211.017456,3007183334.4426656
26,27,12748138751.171644,26935369701.01402,11231881321.50127,11508857523.450823
27,28,32607741430.55048,8354204938.889155,13422733462.613531,11601968843.79854
28,29,2553185766.6163826,3705230809.667609,2033474860.4579403,1657328644.3464952
29,30,233207057.1032211,200788686.13128552,201796849.6918608,95842272.10901783
30,31,2985256459.5057325,2493820242.7422333,1756739514.819873,1443306738.0254996
31,32,1898299632.50918,4416806410.712857,1887393593.1160169,1705610862.7584655
32,33,613821521.302236,139845478.7339499,117379099.50830752,71278982.91353224
33,34,1404687725.7690794,1499827081.865865,799428913.6979643,670375501.6691257
34,35,3940012270.304893,6576852886.113936,3414973204.0096326,3070971266.303144
35,36,278282387.00300354,166170923.43751785,104329625.2571233,92131785.88997623
36,37,217213039.9319785,328899492.51367515,177405707.20285073,217612914.14961752
37,38,1448518741.0516858,598735141.6482464,538390292.0024712,491247603.8129552
38,39,7894298837.712285,16808883137.819506,8018779126.289681,7641782586.331731
39,40,8180272096.418961,4799016279.310015,4244658592.407766,4575985272.127428
40,41,4659024999.104268,10538602683.196802,4558196283.512039,6287265198.070589
41,42,3676098663.187802,1012651425.694067,567096943.2736423,641921284.2146912
42,43,1165954491.869233,410038932.822393,381197007.6612328,355579478.91684407
43,44,204347795.69643205,178442195.15262863,140805138.09896186,223237535.50619057
44,45,1397882149.41774,2775857601.018077,1341308516.4908142,1415397012.3590665
